2792,754,1,"heading","$content","Administration Documents","Administration Documents"
2793,754,7,"paragraph","$content","S19,20,21","<a target=""automate"" href=""/intra/resources/S-19%20Credit%20Application.doc""></a><a target=""automate"" href=""/intra/resources/S-21%20projected%20sales%2090%20days.xls"">S-21 projected sales 90 days</a><br>"
2788,752,1,"heading","$content","head","Operations Documents<br>
"
4504,753,3,"paragraph","$content","MSDS","<h2>MSDS</h2><br /><ul><li><a href=""/intra/resources/Bare%20Bones%20MSDS.pdf"">Bare Bones</a></li><li><a href=""/intra/resources/Bleach%20MSDS.doc"">Bleach</a></li><li><a href=""/intra/resources/elephant%20snot%20MSDS.pdf"">Elephant Snot</a></li><li><a href=""/intra/resources/H&amp;C%20water%20based%20MSDS%20.pdf"">H&amp;C Degreaser</a></li><li><a href=""/intra/resources/HI%20SPEED%20READY%20STRIP.doc"">Hi Speed Ready Strip</a></li><li><a href=""/intra/resources/HYDROCHLORIC%20ACID%20MSDS.htm"">Hydrochloric Acid</a></li><li><a href=""/intra/resources/Isopropyl%20Alcohol%20MSDS.doc"">Isopropyl Alcohol</a></li><li><a href=""/intra/resources/Klean%20Strip%20MSDS.pdf"">Klean Strip</a></li><li><a href=""/intra/resources/N-Propyl%20Alcohol.doc"">N-Propyl Alcohol</a></li><li><a href=""/intra/resources/shadowmax%20MSDS.pdf"">Shadowmax</a></li><li><a href=""/intra/resources/SilTanium%20MSDS.doc"">Siltanium</a></li><li><a href=""/intra/resources/SiTi%20One-Step%20MSDS.pdf"">SiTi One-Step</a></li><li><a href=""/intra/resources/SiTi%20Two%20Step%20Cleaner.pdf"">SiTi Two-Step</a></li><li><a href=""/intra/resources/Tough2-Strip.doc"">Tough2-Strip</a></li><li><a href=""/intra/resources/Ultra-Strip.doc"">Ultra-Strip</a></li></ul><br />"
2780,747,3,"subheading","$content","Intranet","<span style=""font-style: italic;"">Intranet Help and What's New</span><br />"
2781,747,2,"paragraph","$content","Notes TODO","<h2>New Notes To Do item</h2>
There is a new Notes item in your To DO list which shows notes that
have been sent to you but not marked reviewed.&nbsp; When you click on
the To Do item for a note, it should take you to the Job Order and
pop-up the note.&nbsp; If the note does not pop-up, the browser
propably has a security restriction message about pop-ups near the
top.&nbsp; Click on the message and choose 'Allow pop-ups from
glassfusion.com'.&nbsp; Pop-ups will work after you do this.<br />"
2777,747,4,"paragraph","$content","Get Firefox:","<h3>Please Download and Install Firefox.</h3>If you haven't already
done so, please download and install Firefox.&nbsp; Firefox is known to
work very well with Intranet based applications like this.<br />
<strong>Instructions:</strong><br />
<ol>

<li>
<a href=""http://www.mozilla.com/firefox"" target=""_blank"">Click Here to Start.</a></li>
<li>Click on the 'Download' button.<br /></li><li>When asked to 'Run' or 'Save', choose Run.</li>
<li>Follow all instructions, and allow the installation to add an icon to your desktop.</li>
<li>When installation is complete, click on the new 'FireFox' desktop icon and navigate to this URL:   <strong>https://www.siltanium.com:10441/intra/</strong></li>
<li>Go to the Firefox menu 'Tools', then go to the 'Options' dropdown menu item.  This should bring up the Options Dialog.</li>
<li>On the General section, click on the ""Use Current Page"" button.</li>

</ol><span style=""font-weight: bold; color: rgb(0, 0, 153);"">Thats It!&nbsp;</span> <br />From now on, all you have to do is click on the 'Firefox' icon to get to this application.<br />"
2799,747,5,"paragraph","$content","Camino","<span style=""font-weight: bold;"">Note:&nbsp;</span> Apple MAC OSX users should use the Camino web browser instead of Firefox.&nbsp; Firefox will work, but Camino was written specifically for a MAC by the same people that created Firefox.&nbsp; <br />The MAC OSX native browser 'Safari' will also work.&nbsp; <br />(Safari has some issues with the content editor which will not effect you if you are not editing the web site.)<br />"
4400,747,0,"paragraph","$content","1/29/2008","<h2><span style=""font-weight: bold;"">1/29/2008 - Latest Changes...</span></h2>The <span style=""font-style: italic;"">To Do to Notes</span> interface has been changed because of changes in browser security.<br /><br />Browsers make it very hard to have a window pop-up on the event of a new page loading.&nbsp; This is how the <span style=""font-style: italic;"">To Do to Notes</span> task action worked.<br /><br />It now asks you to 'Click Here' to have the Not dialog show, which is legal and reliable in all browsers because the user explicitly asked for the action.<br /><br /><span style=""font-weight: bold;"">New Operations Report</span><br />There is a new report under the Operations category intended for the Operations Supervisor.<br />"
4506,1145,0,"heading","$content","Section Name Here","Developer Notes"
4507,1145,0,"paragraph","$content","Items","Contact search by contact, not company<br />Fix Company - Contact dialog and defaulting<br />Un-check notes by default<br /><br /><br />"
